site_id,node,cell,capacity
existing_site_16,4G,cell_3,1.5
existing_site_16,5G,cell_3,0
existing_site_17,4G,cell_1,1.5
existing_site_17,5G,cell_1,0
existing_site_17,4G,cell_2,1.5
existing_site_17,5G,cell_2,0
existing_site_17,4G,cell_3,1.5
existing_site_17,5G,cell_3,0
existing_site_18,4G,cell_1,1.5
existing_site_18,5G,cell_1,0
existing_site_18,4G,cell_2,1.5
existing_site_18,5G,cell_2,0
existing_site_18,4G,cell_3,1.5
existing_site_18,5G,cell_3,0
existing_site_19,4G,cell_1,1.5
existing_site_19,5G,cell_1,0
existing_site_19,4G,cell_2,1.5
existing_site_19,5G,cell_2,0
existing_site_19,4G,cell_3,1.5
existing_site_19,5G,cell_3,0
existing_site_20,4G,cell_1,1.5
existing_site_20,5G,cell_1,0
existing_site_20,4G,cell_2,1.5
existing_site_20,5G,cell_2,0
existing_site_20,4G,cell_3,1.5
existing_site_20,5G,cell_3,0
existing_site_21,4G,cell_1,1.5
existing_site_21,5G,cell_1,0
existing_site_21,4G,cell_2,1.5
existing_site_21,5G,cell_2,0
existing_site_21,4G,cell_3,1.5
existing_site_21,5G,cell_3,0
existing_site_22,4G,cell_1,1.5
existing_site_22,5G,cell_1,0
existing_site_22,4G,cell_2,1.5
existing_site_22,5G,cell_2,0
existing_site_22,4G,cell_3,1.5
existing_site_22,5G,cell_3,0
existing_site_23,4G,cell_1,1.5
existing_site_23,5G,cell_1,0
existing_site_23,4G,cell_2,1.5
existing_site_23,5G,cell_2,0
existing_site_23,4G,cell_3,1.5
existing_site_23,5G,cell_3,0
existing_site_24,4G,cell_1,1.5
existing_site_24,5G,cell_1,0
existing_site_24,4G,cell_2,1.5
existing_site_24,5G,cell_2,0
existing_site_24,4G,cell_3,1.5
existing_site_24,5G,cell_3,0
potential_site_25,4G,cell_1,0
potential_site_25,5G,cell_1,0
potential_site_25,4G,cell_2,0
potential_site_25,5G,cell_2,0
potential_site_25,4G,cell_3,0
potential_site_25,5G,cell_3,0
potential_site_26,4G,cell_1,0
potential_site_26,5G,cell_1,0
potential_site_26,4G,cell_2,0
potential_site_26,5G,cell_2,0
potential_site_26,4G,cell_3,0
potential_site_26,5G,cell_3,0
potential_site_27,4G,cell_1,0
potential_site_27,5G,cell_1,0
potential_site_27,4G,cell_2,0
potential_site_27,5G,cell_2,0
potential_site_27,4G,cell_3,0
potential_site_27,5G,cell_3,0
potential_site_28,4G,cell_1,0
potential_site_28,5G,cell_1,0
potential_site_28,4G,cell_2,0
potential_site_28,5G,cell_2,0
potential_site_28,4G,cell_3,0
potential_site_28,5G,cell_3,0
potential_site_29,4G,cell_1,0
potential_site_29,5G,cell_1,0
potential_site_29,4G,cell_2,0
potential_site_29,5G,cell_2,0
potential_site_29,4G,cell_3,0
potential_site_29,5G,cell_3,0
potential_site_30,4G,cell_1,0
potential_site_30,5G,cell_1,0
potential_site_30,4G,cell_2,0
potential_site_30,5G,cell_2,0
potential_site_30,4G,cell_3,0
potential_site_30,5G,cell_3,0
potential_site_31,4G,cell_1,0
potential_site_31,5G,cell_1,0
potential_site_31,4G,cell_2,0
potential_site_31,5G,cell_2,0
potential_site_31,4G,cell_3,0
potential_site_31,5G,cell_3,0
potential_site_32,4G,cell_1,0
potential_site_32,5G,cell_1,0
potential_site_32,4G,cell_2,0
potential_site_32,5G,cell_2,0
potential_site_32,4G,cell_3,0
potential_site_32,5G,cell_3,0
potential_site_33,4G,cell_1,0
potential_site_33,5G,cell_1,0
potential_site_33,4G,cell_2,0
potential_site_33,5G,cell_2,0
potential_site_33,4G,cell_3,0
potential_site_33,5G,cell_3,0
potential_site_34,4G,cell_1,0
potential_site_34,5G,cell_1,0
potential_site_34,4G,cell_2,0
potential_site_34,5G,cell_2,0
potential_site_34,4G,cell_3,0
potential_site_34,5G,cell_3,0
potential_site_35,4G,cell_1,0
potential_site_35,5G,cell_1,0
potential_site_35,4G,cell_2,0
potential_site_35,5G,cell_2,0
potential_site_35,4G,cell_3,0
potential_site_35,5G,cell_3,0
potential_site_36,4G,cell_1,0
potential_site_36,5G,cell_1,0
potential_site_36,4G,cell_2,0
potential_site_36,5G,cell_2,0
potential_site_36,4G,cell_3,0
potential_site_36,5G,cell_3,0
potential_site_37,4G,cell_1,0
potential_site_37,5G,cell_1,0
potential_site_37,4G,cell_2,0
potential_site_37,5G,cell_2,0
potential_site_37,4G,cell_3,0
potential_site_37,5G,cell_3,0
